iteration,avg_best_distance
1,345792.06575391424
2,333747.58475976065
3,331032.01427989634
4,327858.20786404103
5,326028.7261155365
6,324998.8932427987
7,323957.2040811781
8,322445.79248712416
9,320824.912584284
10,320815.8024819574
11,319556.9677044707
12,318924.9731506168
13,317794.8744624454
14,316564.96080271003
15,315697.0405450158
16,315108.40634293476
17,314194.42819194455
18,313332.25272780366
19,312242.57750077365
20,311811.05621245014
21,310855.52966594696
22,310037.71669041825
23,309856.69630132994
24,308782.58231554984
25,307927.6143244252
26,307596.97296223196
27,306459.76657777914
28,305922.1314698085
29,305803.629986893
30,304798.81329435034
31,304048.48462967627
32,303377.7852303976
33,303008.81403164234
34,302996.1241166042
35,302644.6821474334
36,302644.6821474334
37,302150.4952420105
38,302011.1101701193
39,301788.7235064621
40,301691.41190146765
41,301341.9410223898
42,300700.5009156633
43,300403.4197492538
44,300364.4023566988
45,300235.9371933967
46,299641.7750779654
47,299641.7750779654
48,299159.0461206954
49,298339.75079016574
50,298049.2586335212
51,297704.14159633697
52,297361.89095880947
53,297181.7553271817
54,297177.16054492904
55,296105.6982509926
56,295939.80889355205
57,295496.2723949247
58,295220.94590333325
59,294294.4693460657
60,294025.578356514
61,293643.90253176563
62,293479.5122039234
63,293040.9104232887
64,292852.4946733203
65,292833.1121231782
66,292472.2950455598
67,292368.4556694468
68,291803.6351185538
69,291410.56467438315
70,291126.73616417695
71,290929.99765838496
72,290368.10372203967
73,290306.6008725185
74,290141.41172242945
75,289924.9837027903
76,289875.82360616885
77,289871.39501139114
78,289803.8361680927
79,289480.0660753566
80,289288.74651748646
81,289250.7268893281
82,289104.3008000786
83,288886.1140856096
84,288757.9611783967
85,288506.9583595874
86,288268.87154448556
87,288151.09801075264
88,288138.54066814703
89,287999.54553707794
90,287985.33308120933
91,287740.09164806374
92,287534.7868626804
93,287492.5354211476
94,287448.90738086303
95,287373.47945914685
96,287319.78207280365
97,287276.82700875535
98,287096.9180795328
99,287050.4524130642
100,286940.43812902714
101,286925.1644575704
102,286815.8370144036
103,286770.07109241304
104,286738.94790913904
105,286594.92644179176
106,286482.4744386669
107,286394.19573431707
108,286195.3820857119
109,286150.88749645144
110,286096.6991814231
111,286054.45943736413
112,285767.34033466387
113,285744.07572965854
114,285688.73215138016
115,285598.3930946641
116,285335.8645587965
117,285318.43790702574
118,285270.92491077824
119,285155.19544509705
120,285155.19544509705
121,285133.112036025
122,285132.47043827333
123,285057.73918265436
124,284971.21248509473
125,284948.5427544515
126,284836.44787885953
127,284793.99506379606
128,284769.14090295206
129,284739.3497128093
130,284694.34912350134
131,284625.0728266371
132,284609.932110964
133,284572.67974989576
134,284572.67974989576
135,284471.8599084267
136,284440.89122621407
137,284434.2242179516
138,284409.99886695656
139,284400.06058883795
140,284389.32741342986
141,284373.59096529067
142,284371.8076393909
143,284336.0901847675
144,284336.0901847675
145,284336.0901847675
146,284264.713641182
147,284218.8388449918
148,284217.9673018195
149,284205.53918307315
150,284198.27030012367
151,284144.30531940114
152,284134.39158616366
153,284125.5768580593
154,284107.63919394894
155,284102.2660293455
156,284097.46871106426
157,284097.46871106426
158,284072.2621449335
159,284037.78181186476
160,284013.77986812766
161,284012.19428004517
162,283984.91328230314
163,283970.91763611074
164,283969.1301767689
165,283962.6690608885
166,283945.4038863026
167,283938.7408991629
168,283938.7408991629
169,283934.7031443057
170,283931.6151233091
171,283924.8486171385
172,283905.5175218432
173,283905.0615269786
174,283888.53344724426
175,283880.2887984626
176,283880.2887984626
177,283880.2887984626
178,283873.24511874554
179,283873.24511874554
180,283873.24511874554
181,283872.8644261682
182,283861.32881846
183,283861.32881846
184,283854.1345341686
185,283853.75384159124
186,283853.3731490139
187,283853.3731490139
188,283853.3731490139
189,283853.2978467267
190,283852.9171541494
191,283852.9171541494
192,283846.17886472243
193,283845.7981721451
194,283845.7981721451
195,283845.7981721451
196,283845.4174795678
197,283845.4174795678
198,283845.4174795678
199,283845.4174795678
200,283845.4174795678
201,283845.4174795678
202,283845.0367869904
203,283845.0367869904
204,283845.0367869904
205,283845.0367869904
206,283845.0367869904
207,283845.03678699036
208,283844.6560944131
209,283844.6560944131
210,283844.6560944131
211,283844.6560944131
212,283844.6560944131
213,283844.6560944131
214,283844.6560944131
215,283844.6560944131
216,283844.6560944131
217,283844.6560944131
218,283844.6560944131
219,283844.6560944131
220,283844.6560944131
221,283844.6560944131
222,283844.6560944131
223,283844.6560944131
224,283844.6560944131
225,283844.6560944131
226,283844.6560944131
227,283844.6560944131
228,283844.6560944131
229,283844.6560944131
230,283844.6560944131
231,283844.6560944131
232,283844.6560944131
233,283844.6560944131
234,283844.6560944131
235,283844.6560944131
236,283844.6560944131
237,283844.6560944131
238,283844.6560944131
239,283844.6560944131
240,283844.6560944131
241,283844.6560944131
242,283844.6560944131
243,283844.6560944131
244,283844.6560944131
245,283844.6560944131
246,283844.6560944131
247,283844.6560944131
248,283844.6560944131
249,283844.6560944131
250,283844.6560944131
251,283844.6560944131
252,283844.6560944131
253,283844.6560944131
254,283844.6560944131
255,283844.6560944131
256,283844.6560944131
257,283844.6560944131
258,283844.6560944131
259,283844.6560944131
260,283844.6560944131
261,283844.6560944131
262,283844.6560944131
263,283844.6560944131
264,283844.6560944131
265,283844.6560944131
266,283844.6560944131
267,283844.6560944131
268,283844.6560944131
269,283844.6560944131
270,283844.6560944131
271,283844.6560944131
272,283844.6560944131
273,283844.6560944131
274,283844.6560944131
275,283844.6560944131
276,283844.6560944131
277,283844.6560944131
278,283844.6560944131
279,283844.6560944131
280,283844.6560944131
281,283844.6560944131
282,283844.6560944131
283,283844.6560944131
284,283844.6560944131
285,283844.6560944131
286,283844.6560944131
287,283844.6560944131
288,283844.6560944131
289,283844.6560944131
290,283844.6560944131
291,283844.6560944131
292,283844.6560944131
293,283844.6560944131
294,283844.6560944131
295,283844.6560944131
296,283844.6560944131
297,283844.6560944131
298,283844.6560944131
299,283844.6560944131
300,283844.6560944131
301,283844.6560944131
302,283844.6560944131
303,283844.6560944131
304,283844.6560944131
305,283844.6560944131
306,283844.6560944131
307,283844.6560944131
308,283844.6560944131
309,283844.6560944131
310,283844.6560944131
311,283844.6560944131
312,283844.6560944131
313,283844.6560944131
314,283844.6560944131
315,283844.6560944131
316,283844.6560944131
317,283844.6560944131
318,283844.6560944131
319,283844.6560944131
320,283844.6560944131
321,283844.6560944131
322,283844.6560944131
323,283844.6560944131
324,283844.6560944131
325,283844.6560944131
326,283844.6560944131
327,283844.6560944131
328,283844.6560944131
329,283844.6560944131
330,283844.6560944131
331,283844.6560944131
332,283844.6560944131
333,283844.6560944131
334,283844.6560944131
335,283844.6560944131
336,283844.6560944131
337,283844.6560944131
338,283844.6560944131
339,283844.6560944131
340,283844.6560944131
341,283844.6560944131
342,283844.6560944131
343,283844.6560944131
344,283844.6560944131
345,283844.6560944131
346,283844.6560944131
347,283844.6560944131
348,283844.6560944131
349,283844.6560944131
350,283844.6560944131
351,283844.6560944131
352,283844.6560944131
353,283844.6560944131
354,283844.6560944131
355,283844.6560944131
356,283844.6560944131
357,283844.6560944131
358,283844.6560944131
359,283844.6560944131
360,283844.6560944131
361,283844.6560944131
362,283844.6560944131
363,283844.6560944131
364,283844.6560944131
365,283844.6560944131
366,283844.6560944131
367,283844.6560944131
368,283844.6560944131
369,283844.6560944131
370,283844.6560944131
371,283844.6560944131
372,283844.6560944131
373,283844.6560944131
374,283844.6560944131
375,283844.6560944131
376,283844.6560944131
377,283844.6560944131
378,283844.6560944131
379,283844.6560944131
380,283844.6560944131
381,283844.6560944131
382,283844.6560944131
383,283844.6560944131
384,283844.6560944131
385,283844.6560944131
386,283844.6560944131
387,283844.6560944131
388,283844.6560944131
389,283844.6560944131
390,283844.6560944131
391,283844.6560944131
392,283844.6560944131
393,283844.6560944131
394,283844.6560944131
395,283844.6560944131
396,283844.6560944131
397,283844.6560944131
398,283844.6560944131
399,283844.6560944131
400,283844.6560944131
401,283844.6560944131
402,283844.6560944131
403,283844.6560944131
404,283844.6560944131
405,283844.6560944131
406,283844.6560944131
407,283844.6560944131
408,283844.6560944131
409,283844.6560944131
410,283844.6560944131
411,283844.6560944131
412,283844.6560944131
413,283844.6560944131
414,283844.6560944131
415,283844.6560944131
416,283844.6560944131
417,283844.6560944131
418,283844.6560944131
419,283844.6560944131
420,283844.6560944131
421,283844.6560944131
422,283844.6560944131
423,283844.6560944131
424,283844.6560944131
425,283844.6560944131
426,283844.6560944131
427,283844.6560944131
428,283844.6560944131
429,283844.6560944131
430,283844.6560944131
431,283844.6560944131
432,283844.6560944131
433,283844.6560944131
434,283844.6560944131
435,283844.6560944131
436,283844.6560944131
437,283844.6560944131
438,283844.6560944131
439,283844.6560944131
440,283844.6560944131
441,283844.6560944131
442,283844.6560944131
443,283844.6560944131
444,283844.6560944131
445,283844.6560944131
446,283844.6560944131
447,283844.6560944131
448,283844.6560944131
449,283844.6560944131
450,283844.6560944131
451,283844.6560944131
452,283844.6560944131
453,283844.6560944131
454,283844.6560944131
455,283844.6560944131
456,283844.6560944131
457,283844.6560944131
458,283844.6560944131
459,283844.6560944131
460,283844.6560944131
461,283844.6560944131
462,283844.6560944131
463,283844.6560944131
464,283844.6560944131
465,283844.6560944131
466,283844.6560944131
467,283844.6560944131
468,283844.6560944131
469,283844.6560944131
470,283844.6560944131
471,283844.6560944131
472,283844.6560944131
473,283844.6560944131
474,283844.6560944131
475,283844.6560944131
476,283844.6560944131
477,283844.6560944131
478,283844.6560944131
479,283844.6560944131
480,283844.6560944131
481,283844.6560944131
482,283844.6560944131
483,283844.6560944131
484,283844.6560944131
485,283844.6560944131
486,283844.6560944131
487,283844.6560944131
488,283844.6560944131
489,283844.6560944131
490,283844.6560944131
491,283844.6560944131
492,283844.6560944131
493,283844.6560944131
494,283844.6560944131
495,283844.6560944131
496,283844.6560944131
497,283844.6560944131
498,283844.6560944131
499,283844.6560944131
500,283844.6560944131
