n_nodes,algorithm,mean_distance,std_distance,best_distance,mean_time
10,MMAS,10596.109354648248,0.0,10596.109354648248,0.08859097957611084
10,ACS,10596.109354648248,0.0,10596.109354648248,0.03498775959014892
10,GA,10597.175059084228,1.62789041543938,10596.109354648248,0.2600165605545044
10,SA,10596.10935464823,1.7021406562115348e-10,10596.10935464796,3.5168152809143067
10,NN,10596.10935464825,0.0,10596.10935464825,0.0
12,MMAS,17984.975125570432,1.9926030563698662e-12,17984.97512557043,0.16485540866851806
12,ACS,17984.975125570432,0.0,17984.975125570432,0.049140119552612306
12,GA,18009.532397917705,62.4602175578451,17984.97512557043,0.2693666934967041
12,SA,17984.975125570527,4.0290019903862834e-10,17984.97512556985,3.5010029077529907
12,NN,17984.975125570432,0.0,17984.975125570432,0.0
15,MMAS,30090.073939070695,3.637978807091713e-12,30090.07393907069,0.4110830307006836
15,ACS,30090.073939070695,3.637978807091713e-12,30090.07393907069,0.07992663383483886
15,GA,31024.484662222705,1174.429611815906,30090.07393907069,0.32246084213256837
15,SA,30090.073939070215,6.647703271771612e-10,30090.073939069298,3.489752769470215
15,NN,35349.35314135242,0.0,35349.35314135242,0.0
20,MMAS,143207.02176694036,324.0970126019897,143098.98942940636,0.9278229713439942
20,ACS,143381.98490949543,141.4977400445161,143098.98942940639,0.24299988746643067
20,GA,150493.26161696936,5268.51566732717,143464.1545568376,0.4066476345062256
20,SA,143098.98942940557,2.41723037312326e-09,143098.98942940152,3.469491386413574
20,NN,146916.19495561847,0.0,146916.19495561847,0.000997781753540039
